"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"721","~rain_sum2 + season2","~year2","~rain_cv2 + season2 + sex","Phi(~rain_sum2 + season2)p(~year2)f(~rain_cv2 + season2 + sex)",18,17693.7595906222,164.667918322848,0,883.3886
"96","~gpp_avg2 * season2","~time","~temp_cv2 * season2","Phi(~gpp_avg2 * season2)p(~time)f(~temp_cv2 * season2)",30,17694.4230859729,165.331413673517,0,859.6966
"330","~rain_cv_lag2 + season2","~time + sex","~oni_avg2 * season2 + sex","Phi(~rain_cv_lag2 + season2)p(~time + sex)f(~oni_avg2 * season2 + sex)",31,17694.5816722993,165.490000000002,0,857.81783
"843","~rain_sum2 * season2 + sex","~year2","~rain_cv_lag2 * season2 + sex","Phi(~rain_sum2 * season2 + sex)p(~year2)f(~rain_cv_lag2 * season2 + sex)",21,17695.2639783393,166.172306040015,0,878.82136
"470","~rain_cv2 + season2","~year2","~rain_cv2 + season2 + sex","Phi(~rain_cv2 + season2)p(~year2)f(~rain_cv2 + season2 + sex)",18,17696.2045906222,167.112918322848,0,885.83351
"316","~rain_cv_lag2 + season2","~time","~oni_avg2 + season2 + sex","Phi(~rain_cv_lag2 + season2)p(~time)f(~oni_avg2 + season2 + sex)",29,17697.0037285887,167.912056289326,0,864.31417
"295","~rain_cv_lag2","~time","~rain_sum_lag2 + season2","Phi(~rain_cv_lag2)p(~time)f(~rain_sum_lag2 + season2)",27,17697.5636962025,168.472023903196,0,868.94289
"632","~rain_sum_lag2 * season2","~year2","~rain_sum2 + season2 + sex","Phi(~rain_sum_lag2 * season2)p(~year2)f(~rain_sum2 + season2 + sex)",19,17697.607502706,168.515830406617,0,885.21419
"716","~rain_sum2 + season2","~year2","~oni_avg2 + season2","Phi(~rain_sum2 + season2)p(~year2)f(~oni_avg2 + season2)",17,17698.6988942308,169.607221931434,0,890.34983
"283","~oni_avg2 * season2 + sex","~year2","~gpp_avg2 * season2 + sex","Phi(~oni_avg2 * season2 + sex)p(~year2)f(~gpp_avg2 * season2 + sex)",21,17698.7169783393,169.625306040012,0,882.27435
"297","~rain_cv_lag2","~time","~rain_sum_lag2 * season2","Phi(~rain_cv_lag2)p(~time)f(~rain_sum_lag2 * season2)",28,17698.8155990353,169.72392673594,0,868.16139
"308","~rain_cv_lag2","~time + sex","~rain_sum_lag2 + season2","Phi(~rain_cv_lag2)p(~time + sex)f(~rain_sum_lag2 + season2)",28,17698.8865990353,169.79492673594,0,868.23159
"454","~rain_cv2 + season2","~time","~rain_sum2 * season2","Phi(~rain_cv2 + season2)p(~time)f(~rain_sum2 * season2)",29,17699.2137285887,170.122056289325,0,866.52351
"309","~rain_cv_lag2","~time + sex","~rain_sum_lag2 * season2","Phi(~rain_cv_lag2)p(~time + sex)f(~rain_sum_lag2 * season2)",29,17699.9277285887,170.836056289325,0,867.23792
"576","~rain_sum_lag2 + season2","~year2","~rain_sum_lag2 * season2 + sex","Phi(~rain_sum_lag2 + season2)p(~year2)f(~rain_sum_lag2 * season2 + sex)",19,17700.568502706,171.476830406617,0,888.17447
"407","~rain_cv_lag2 * season2 + sex","~time","~rain_cv_lag2 + season2","Phi(~rain_cv_lag2 * season2 + sex)p(~time)f(~rain_cv_lag2 + season2)",30,17701.7400859729,172.648413673516,0,867.01434
"818","~rain_sum2 * season2 + sex","~time","~rain_cv_lag2 * season2 + sex","Phi(~rain_sum2 * season2 + sex)p(~time)f(~rain_cv_lag2 * season2 + sex)",32,17702.985488681,173.89381638162,0,864.18285
"280","~oni_avg2 * season2 + sex","~year2","~gpp_avg2 + season2","Phi(~oni_avg2 * season2 + sex)p(~year2)f(~gpp_avg2 + season2)",19,17703.653502706,174.561830406616,0,891.25974
"833","~rain_sum2 * season2 + sex","~time + sex","~rain_cv_lag2 * season2 + sex","Phi(~rain_sum2 * season2 + sex)p(~time + sex)f(~rain_cv_lag2 * season2 + sex)",33,17704.8895362319,175.797863932548,0,864.04659
"810","~rain_sum2 * season2","~year2","~rain_sum2 * season2 + sex","Phi(~rain_sum2 * season2)p(~year2)f(~rain_sum2 * season2 + sex)",20,17705.0436315789,175.951959279613,0,890.6263
"386","~rain_cv_lag2 * season2","~time + sex","~rain_cv_lag2 * season2","Phi(~rain_cv_lag2 * season2)p(~time + sex)f(~rain_cv_lag2 * season2)",31,17705.0846722993,175.993000000002,0,868.32069
"229","~oni_avg2 + season2 + sex","~year2","~gpp_avg2 * season2","Phi(~oni_avg2 + season2 + sex)p(~year2)f(~gpp_avg2 * season2)",19,17706.475502706,177.383830406616,0,894.08225
"968","~temp_cv2 * season2 + sex","~time","~rain_sum_lag2 * season2","Phi(~temp_cv2 * season2 + sex)p(~time)f(~rain_sum_lag2 * season2)",31,17707.5696722993,178.478000000003,0,870.80557
