"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"7316","~rain_sum_lag2 + season2 + sex + year2","~year2 * season2 + sex","~oni_avg2 * season2","Phi(~rain_sum_lag2 + season2 + sex + year2)p(~year2 * season2 + sex)f(~oni_avg2 * season2)",41,17511.0923728814,95.2717223959189,0,653.88527
"11428","~temp_cv2 * season2 + sex + year2","~year2","~gpp_avg2 * season2 + year2","Phi(~temp_cv2 * season2 + sex + year2)p(~year2)f(~gpp_avg2 * season2 + year2)",40,17511.1324357035,95.311785218044,0,655.97501
"11920","~year2 + season2 + sex","~year2 * season2 + sex","~rain_cv_lag2 * season2","Phi(~year2 + season2 + sex)p(~year2 * season2 + sex)f(~rain_cv_lag2 * season2)",40,17511.1484357035,95.3277852180436,0,655.99114
"4622","~rain_cv_lag2 * season2 + sex","~time + sex","~rain_sum2 + season2 + sex + year2","Phi(~rain_cv_lag2 * season2 + sex)p(~time + sex)f(~rain_sum2 + season2 + sex + year2)",42,17511.148551317,95.3279008315512,0,651.88961
"174","~gpp_avg2 + season2","~year2 + sex","~rain_sum2 + season2 + year2","Phi(~gpp_avg2 + season2)p(~year2 + sex)f(~rain_sum2 + season2 + year2)",28,17511.1605990353,95.3399485498376,0,680.50635
"11225","~temp_cv2 * season2","~year2 * season2 + sex","~temp_cv2 * season2 + sex + year2","Phi(~temp_cv2 * season2)p(~year2 * season2 + sex)f(~temp_cv2 * season2 + sex + year2)",42,17511.162551317,95.3419008315504,0,651.90412
"10032","~rain_sum2 * season2 + year2","~year2","~temp_cv2 + season2 + sex + year2","Phi(~rain_sum2 * season2 + year2)p(~year2)f(~temp_cv2 + season2 + sex + year2)",39,17511.173738657,95.3530881715524,0,658.06452
"10058","~rain_sum2 * season2 + year2","~year2 + sex","~rain_cv2 + season2","Phi(~rain_sum2 * season2 + year2)p(~year2 + sex)f(~rain_cv2 + season2)",29,17511.1797285887,95.3590781032253,0,678.4904
"11675","~temp_cv2 * season2 + year2","~year2 + sex","~rain_sum2 * season2","Phi(~temp_cv2 * season2 + year2)p(~year2 + sex)f(~rain_sum2 * season2)",30,17511.1880859729,95.3674354874165,0,676.46209
"4036","~rain_cv_lag2 + season2 + sex + year2","~year2 * season2 + sex","~rain_sum2 * season2","Phi(~rain_cv_lag2 + season2 + sex + year2)p(~year2 * season2 + sex)f(~rain_sum2 * season2)",41,17511.1933728814,95.3727223959213,0,653.98592
"9414","~rain_sum2 + year2","~year2 * season2 + sex","~rain_sum_lag2 * season2 + sex + year2","Phi(~rain_sum2 + year2)p(~year2 * season2 + sex)f(~rain_sum_lag2 * season2 + sex + year2)",50,17511.1937996965,95.3731492110746,0,635.48053
"750","~gpp_avg2 + season2 + year2","~year2 * season2 + sex","~rain_cv_lag2 + season2 + sex","Phi(~gpp_avg2 + season2 + year2)p(~year2 * season2 + sex)f(~rain_cv_lag2 + season2 + sex)",40,17511.2054357035,95.3847852180443,0,656.04794
"3648","~rain_cv_lag2 + season2","~year2 + sex","~oni_avg2 * season2 + sex + year2","Phi(~rain_cv_lag2 + season2)p(~year2 + sex)f(~oni_avg2 * season2 + sex + year2)",30,17511.2070859729,95.3864354874167,0,676.48113
"11080","~temp_cv2 * season2","~time + sex","~rain_sum_lag2 * season2 + sex + year2","Phi(~temp_cv2 * season2)p(~time + sex)f(~rain_sum_lag2 * season2 + sex + year2)",42,17511.233551317,95.4129008315504,0,651.97445
"181","~gpp_avg2 + season2","~year2 + sex","~temp_cv2 + season2 + sex + year2","Phi(~gpp_avg2 + season2)p(~year2 + sex)f(~temp_cv2 + season2 + sex + year2)",29,17511.2367285887,95.416078103226,0,678.5472
"8163","~rain_sum_lag2 * season2 + sex + year2","~year2 * season2 + sex","~rain_cv2 * season2 + sex","Phi(~rain_sum_lag2 * season2 + sex + year2)p(~year2 * season2 + sex)f(~rain_cv2 * season2 + sex)",43,17511.2409721381,95.4203216526657,0,649.93033
"4880","~rain_cv_lag2 * season2 + sex + year2","~year2 + sex","~rain_cv2 * season2","Phi(~rain_cv_lag2 * season2 + sex + year2)p(~year2 + sex)f(~rain_cv2 * season2)",31,17511.2606722993,95.4400218139017,0,674.49713
"602","~gpp_avg2 + season2 + year2","~time + sex","~rain_sum_lag2 + season2 + sex","Phi(~gpp_avg2 + season2 + year2)p(~time + sex)f(~rain_sum_lag2 + season2 + sex)",40,17511.2774357035,95.4567852180444,0,656.11983
"2019","~oni_avg2 + season2 + sex","~year2 + sex","~rain_sum2 * season2 + sex + year2","Phi(~oni_avg2 + season2 + sex)p(~year2 + sex)f(~rain_sum2 * season2 + sex + year2)",31,17511.2816722993,95.4610218139023,0,674.51746
"178","~gpp_avg2 + season2","~year2 + sex","~rain_sum2 * season2 + year2","Phi(~gpp_avg2 + season2)p(~year2 + sex)f(~rain_sum2 * season2 + year2)",29,17511.2887285887,95.4680781032257,0,678.59934
"10124","~rain_sum2 * season2 + year2","~year2 * season2 + sex","~rain_sum_lag2 + season2 + sex","Phi(~rain_sum2 * season2 + year2)p(~year2 * season2 + sex)f(~rain_sum_lag2 + season2 + sex)",41,17511.3033728814,95.4827223959182,0,654.09611
"6612","~rain_cv2 * season2 + year2","~time + sex","~gpp_avg2 * season2","Phi(~rain_cv2 * season2 + year2)p(~time + sex)f(~gpp_avg2 * season2)",41,17511.3053728814,95.4847223959187,0,654.09818
"6758","~rain_cv2 * season2 + year2","~year2 * season2 + sex","~gpp_avg2 * season2","Phi(~rain_cv2 * season2 + year2)p(~year2 * season2 + sex)f(~gpp_avg2 * season2)",41,17511.3053728814,95.4847223959187,0,654.09818
"4709","~rain_cv_lag2 * season2 + sex","~year2 + sex","~temp_cv2 + season2 + year2","Phi(~rain_cv_lag2 * season2 + sex)p(~year2 + sex)f(~temp_cv2 + season2 + year2)",30,17511.3210859728,95.5004354874145,0,676.59517
"11169","~temp_cv2 * season2","~year2 + sex","~year2 + season2 + sex","Phi(~temp_cv2 * season2)p(~year2 + sex)f(~year2 + season2 + sex)",29,17511.3317285887,95.5110781032272,0,678.64221
"3271","~oni_avg2 * season2 + year2","~time + sex","~oni_avg2 * season2 + year2","Phi(~oni_avg2 * season2 + year2)p(~time + sex)f(~oni_avg2 * season2 + year2)",51,17511.3322003643,95.5115498788655,0,633.55656
"159","~gpp_avg2 + season2","~year2 + sex","~rain_cv_lag2 + season2 + year2","Phi(~gpp_avg2 + season2)p(~year2 + sex)f(~rain_cv_lag2 + season2 + year2)",28,17511.3335990353,95.5129485498401,0,680.67895
"3712","~rain_cv_lag2 + season2","~year2 * season2 + sex","~rain_cv2 * season2 + sex + year2","Phi(~rain_cv_lag2 + season2)p(~year2 * season2 + sex)f(~rain_cv2 * season2 + sex + year2)",41,17511.3513728814,95.5307223959207,0,654.14379
