CodigoNacional,Fecha,Total,Traza,Parcial,NumDatos,FechaPro
330021,24-04-1967,0,0,0,1,2019-03-08 10:31
330021,25-04-1967,0,0,0,1,2019-03-08 10:31
330021,26-04-1967,0,0,0,1,2019-03-08 10:31
330021,27-04-1967,0,0,0,1,2019-03-08 10:31
330021,28-04-1967,0,0,0,1,2019-03-08 10:31
330021,29-04-1967,0,0,0,1,2019-03-08 10:31
330021,30-04-1967,0,0,0,1,2019-03-08 10:31
330021,01-05-1967,0,0,0,1,2019-03-08 10:31
330021,02-05-1967,0,0,0,1,2019-03-08 10:31
330021,03-05-1967,0,0,0,1,2019-03-08 10:31
330021,04-05-1967,0,0,0,1,2019-03-08 10:31
330021,05-05-1967,0,0,0,1,2019-03-08 10:31
330021,06-05-1967,0,0,0,1,2019-03-08 10:31
330021,07-05-1967,0,0,0,1,2019-03-08 10:31
330021,08-05-1967,0,1,0,1,2019-03-08 10:31
330021,09-05-1967,0,0,0,1,2019-03-08 10:31
330021,10-05-1967,0,0,0,1,2019-03-08 10:31
330021,11-05-1967,0,0,0,1,2019-03-08 10:31
330021,12-05-1967,0,0,0,1,2019-03-08 10:31
330021,13-05-1967,0,0,0,1,2019-03-08 10:31
330021,14-05-1967,0,0,0,1,2019-03-08 10:31
330021,15-05-1967,0,0,0,1,2019-03-08 10:31
330021,16-05-1967,0,0,0,1,2019-03-08 10:31
330021,17-05-1967,0,0,0,0,2019-03-08 10:31
330021,18-05-1967,0,0,0,1,2019-03-08 10:31
330021,19-05-1967,0,0,0,1,2019-03-08 10:31
330021,20-05-1967,0,0,0,1,2019-03-08 10:31
330021,21-05-1967,0,0,0,0,2019-03-08 10:31
330021,22-05-1967,0,0,0,1,2019-03-08 10:31
330021,23-05-1967,0,0,0,1,2019-03-08 10:31
330021,24-05-1967,0,0,0,1,2019-03-08 10:31
330021,25-05-1967,0,0,0,1,2019-03-08 10:31
330021,26-05-1967,0,0,0,1,2019-03-08 10:31
330021,27-05-1967,0,0,0,1,2019-03-08 10:31
330021,28-05-1967,0,0,0,1,2019-03-08 10:31
330021,29-05-1967,0,0,0,1,2019-03-08 10:31
330021,30-05-1967,0,0,0,1,2019-03-08 10:31
330021,31-05-1967,0,0,0,1,2019-03-08 10:31
330021,01-06-1967,0,0,0,1,2019-03-08 10:31
330021,02-06-1967,0,0,0,1,2019-03-08 10:31
330021,03-06-1967,0,0,0,1,2019-03-08 10:31
330021,04-06-1967,0,0,0,1,2019-03-08 10:31
330021,05-06-1967,0,0,0,1,2019-03-08 10:31
330021,06-06-1967,0,0,0,1,2019-03-08 10:31
330021,07-06-1967,0,0,0,1,2019-03-08 10:31
330021,08-06-1967,0,0,0,1,2019-03-08 10:31
330021,09-06-1967,0,0,0,1,2019-03-08 10:31
330021,10-06-1967,0,0,0,1,2019-03-08 10:31
