"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"1005","~year2 * sex","~season2","~season2 * sex","Phi(~year2 * sex)p(~season2)f(~season2 * sex)",28,17726.6535990353,286.950860378289,0,895.99862
"495","~year2","~sex","~year2 + season2 * sex","Phi(~year2)p(~sex)f(~year2 + season2 * sex)",27,17726.7916962025,287.088957545544,0,898.17136
"1018","~year2 * sex","~season2 + sex","~season2 * sex","Phi(~year2 * sex)p(~season2 + sex)f(~season2 * sex)",29,17727.6017285887,287.898989931677,0,894.91171
"894","~year2 + sex","~season2","~season2 + sex","Phi(~year2 + sex)p(~season2)f(~season2 + sex)",17,17731.1558942308,291.453155573785,0,922.807
"831","~year2 + season2 * sex","~time","~year2 * sex","Phi(~year2 + season2 * sex)p(~time)f(~year2 * sex)",58,17731.9621417706,292.259403113625,0,839.71501
"868","~year2 + season2 * sex","~year2 * season2","~year2 * sex","Phi(~year2 + season2 * sex)p(~year2 * season2)f(~year2 * sex)",58,17731.9621417706,292.259403113625,0,839.71503
"837","~year2 + season2 * sex","~time + sex","~year2 + sex","Phi(~year2 + season2 * sex)p(~time + sex)f(~year2 + sex)",49,17732.0816504854,292.378911828451,0,858.43012
"876","~year2 + season2 * sex","~year2 * season2 + sex","~year2 + sex","Phi(~year2 + season2 * sex)p(~year2 * season2 + sex)f(~year2 + sex)",49,17732.0816504854,292.378911828451,0,858.43013
"387","~sex","~season2","~year2 + season2 * sex","Phi(~sex)p(~season2)f(~year2 + season2 * sex)",18,17732.3345906222,292.631851965198,0,921.96438
"839","~year2 + season2 * sex","~time + sex","~year2 * sex","Phi(~year2 + season2 * sex)p(~time + sex)f(~year2 * sex)",59,17733.1285952526,293.425856595601,0,838.80848
"878","~year2 + season2 * sex","~year2 * season2 + sex","~year2 * sex","Phi(~year2 + season2 * sex)p(~year2 * season2 + sex)f(~year2 * sex)",59,17733.1285952526,293.425856595601,0,838.80862
"400","~sex","~season2 + sex","~year2 + season2 * sex","Phi(~sex)p(~season2 + sex)f(~year2 + season2 * sex)",19,17733.280502706,293.577764048965,0,920.88728
"1085","~year2 * sex","~year2 * season2","~year2 + season2","Phi(~year2 * sex)p(~year2 * season2)f(~year2 + season2)",56,17733.3690155062,293.666276849246,0,845.26325
"1004","~year2 * sex","~season2","~season2 + sex","Phi(~year2 * sex)p(~season2)f(~season2 + sex)",27,17733.7196962025,294.016957545544,0,905.09867
"477","~year2","~season2 + sex","~season2 * sex","Phi(~year2)p(~season2 + sex)f(~season2 * sex)",18,17734.5885906222,294.885851965199,0,924.21806
"829","~year2 + season2 * sex","~time","~year2 + sex","Phi(~year2 + season2 * sex)p(~time)f(~year2 + sex)",48,17735.4627515924,295.76001293537,0,863.87061
"865","~year2 + season2 * sex","~year2 * season2","~year2 + sex","Phi(~year2 + season2 * sex)p(~year2 * season2)f(~year2 + sex)",48,17735.4627515924,295.76001293537,0,863.87061
"1017","~year2 * sex","~season2 + sex","~season2 + sex","Phi(~year2 * sex)p(~season2 + sex)f(~season2 + sex)",28,17735.6565990353,295.953860378289,0,905.00153
"726","~year2 + season2 + sex","~time + sex","~year2 * sex","Phi(~year2 + season2 + sex)p(~time + sex)f(~year2 * sex)",58,17737.8471417706,298.144403113623,0,845.5998
"724","~year2 + season2 + sex","~time + sex","~year2 + sex","Phi(~year2 + season2 + sex)p(~time + sex)f(~year2 + sex)",48,17738.3267515924,298.624012935372,0,866.7352
"768","~year2 + season2 + sex","~year2 * season2 + sex","~year2 + sex","Phi(~year2 + season2 + sex)p(~year2 * season2 + sex)f(~year2 + sex)",48,17738.3267515924,298.624012935372,0,866.73524
"714","~year2 + season2 + sex","~time","~year2 + sex","Phi(~year2 + season2 + sex)p(~time)f(~year2 + sex)",47,17738.3481018799,298.645363222942,0,868.81512
"757","~year2 + season2 + sex","~year2 * season2","~year2 + sex","Phi(~year2 + season2 + sex)p(~year2 * season2)f(~year2 + sex)",47,17738.3911018799,298.688363222944,0,868.85795
"986","~year2 + sex","~year2 * season2 + sex","~year2 * season2","Phi(~year2 + sex)p(~year2 * season2 + sex)f(~year2 * season2)",56,17739.0470155062,299.344276849246,0,850.94098
"1093","~year2 * sex","~year2 * season2 + sex","~season2","Phi(~year2 * sex)p(~year2 * season2 + sex)f(~season2)",47,17739.1531018799,299.450363222943,0,869.61962
"834","~year2 + season2 * sex","~time + sex","~year2","Phi(~year2 + season2 * sex)p(~time + sex)f(~year2)",48,17742.4727515924,302.770012935369,0,870.88077
"872","~year2 + season2 * sex","~year2 * season2 + sex","~year2","Phi(~year2 + season2 * sex)p(~year2 * season2 + sex)f(~year2)",48,17742.4727515924,302.770012935369,0,870.88079
"996","~year2 * sex","~1","~year2 + season2 + sex","Phi(~year2 * sex)p(~1)f(~year2 + season2 + sex)",36,17742.6130770626,302.910338405571,0,895.64254
"1023","~year2 * sex","~season2 + sex","~year2 + season2 * sex","Phi(~year2 * sex)p(~season2 + sex)f(~year2 + season2 * sex)",39,17743.340738657,303.638000000003,0,890.23168
"464","~year2","~season2","~season2 * sex","Phi(~year2)p(~season2)f(~season2 * sex)",17,17743.3528942308,303.650155573785,0,935.0037
"906","~year2 + sex","~season2 + sex","~season2","Phi(~year2 + sex)p(~season2 + sex)f(~season2)",17,17745.4928942308,305.790155573784,0,937.14439
"893","~year2 + sex","~season2","~season2","Phi(~year2 + sex)p(~season2)f(~season2)",16,17747.2614124362,307.558673779182,0,940.93342
"1010","~year2 * sex","~season2","~year2 + season2 * sex","Phi(~year2 * sex)p(~season2)f(~year2 + season2 * sex)",38,17747.4822806169,307.779541959888,0,896.42082
"386","~sex","~season2","~year2 + season2 + sex","Phi(~sex)p(~season2)f(~year2 + season2 + sex)",17,17748.6498942308,308.947155573784,0,940.30115
"826","~year2 + season2 * sex","~time","~year2","Phi(~year2 + season2 * sex)p(~time)f(~year2)",47,17748.6691018799,308.966363222942,0,879.13549
"861","~year2 + season2 * sex","~year2 * season2","~year2","Phi(~year2 + season2 * sex)p(~year2 * season2)f(~year2)",47,17748.6691018799,308.966363222942,0,879.13549
"1008","~year2 * sex","~season2","~year2 + season2","Phi(~year2 * sex)p(~season2)f(~year2 + season2)",36,17749.4320770626,309.72933840557,0,902.46228
"476","~year2","~season2 + sex","~season2 + sex","Phi(~year2)p(~season2 + sex)f(~season2 + sex)",17,17750.0528942308,310.350155573782,0,941.70393
"399","~sex","~season2 + sex","~year2 + season2 + sex","Phi(~sex)p(~season2 + sex)f(~year2 + season2 + sex)",18,17750.3045906222,310.601851965195,0,939.93389
"720","~year2 + season2 + sex","~time + sex","~year2","Phi(~year2 + season2 + sex)p(~time + sex)f(~year2)",47,17751.9971018799,312.294363222944,0,882.46383
"764","~year2 + season2 + sex","~year2 * season2 + sex","~year2","Phi(~year2 + season2 + sex)p(~year2 * season2 + sex)f(~year2)",47,17751.9971018799,312.294363222944,0,882.46387
"463","~year2","~season2","~season2 + sex","Phi(~year2)p(~season2)f(~season2 + sex)",16,17752.7914124362,313.088673779181,0,946.46268
"35","~1","~season2 + sex","~year2 + season2 * sex","Phi(~1)p(~season2 + sex)f(~year2 + season2 * sex)",18,17753.4525906222,313.749851965196,0,943.08232
"710","~year2 + season2 + sex","~time","~year2","Phi(~year2 + season2 + sex)p(~time)f(~year2)",46,17753.5637002122,313.860961555201,0,886.08772
"753","~year2 + season2 + sex","~year2 * season2","~year2","Phi(~year2 + season2 + sex)p(~year2 * season2)f(~year2)",46,17753.5637002122,313.860961555201,0,886.08771
"1062","~year2 * sex","~time + sex","~year2 * season2","Phi(~year2 * sex)p(~time + sex)f(~year2 * season2)",66,17753.8441637694,314.141425112455,0,844.98244
"612","~year2 + season2","~time + sex","~year2 + sex","Phi(~year2 + season2)p(~time + sex)f(~year2 + sex)",47,17756.8911018799,317.188363222944,0,887.35753
"652","~year2 + season2","~year2 * season2 + sex","~year2 + sex","Phi(~year2 + season2)p(~year2 * season2 + sex)f(~year2 + sex)",47,17756.8911018799,317.188363222944,0,887.35781
"475","~year2","~season2 + sex","~season2","Phi(~year2)p(~season2 + sex)f(~season2)",16,17756.9724124362,317.269673779181,0,950.64435
"969","~year2 + sex","~year2 * season2","~year2 + season2","Phi(~year2 + sex)p(~year2 * season2)f(~year2 + season2)",46,17757.7437002122,318.040961555202,0,890.26817
"462","~year2","~season2","~season2","Phi(~year2)p(~season2)f(~season2)",15,17758.8231441441,319.12040548716,0,954.51429
"603","~year2 + season2","~time","~year2 + sex","Phi(~year2 + season2)p(~time)f(~year2 + sex)",46,17758.9797002122,319.276961555202,0,891.50345
"640","~year2 + season2","~year2 * season2","~year2 + sex","Phi(~year2 + season2)p(~year2 * season2)f(~year2 + sex)",46,17758.9817002122,319.278961555199,0,891.50552
"951","~year2 + sex","~time + sex","~year2 * season2","Phi(~year2 + sex)p(~time + sex)f(~year2 * season2)",56,17759.5880155062,319.885276849247,0,871.48181
"22","~1","~season2","~year2 + season2 * sex","Phi(~1)p(~season2)f(~year2 + season2 * sex)",17,17759.8378942308,320.135155573782,0,951.4894
"1068","~year2 * sex","~year2","~year2 + season2 + sex","Phi(~year2 * sex)p(~year2)f(~year2 + season2 + sex)",46,17759.9337002122,320.2309615552,0,892.45842
"1016","~year2 * sex","~season2 + sex","~season2","Phi(~year2 * sex)p(~season2 + sex)f(~season2)",27,17762.2716962025,322.568957545544,0,933.65072
"608","~year2 + season2","~time + sex","~year2","Phi(~year2 + season2)p(~time + sex)f(~year2)",46,17762.4367002122,322.733961555201,0,894.9607
"648","~year2 + season2","~year2 * season2 + sex","~year2","Phi(~year2 + season2)p(~year2 * season2 + sex)f(~year2)",46,17762.4367002122,322.733961555201,0,894.96078
"1021","~year2 * sex","~season2 + sex","~year2 + season2","Phi(~year2 * sex)p(~season2 + sex)f(~year2 + season2)",37,17763.1180604595,323.415321802506,0,914.10259
"1003","~year2 * sex","~season2","~season2","Phi(~year2 * sex)p(~season2)f(~season2)",26,17763.4820189816,323.779280324638,0,936.89366
"1063","~year2 * sex","~time + sex","~year2 * season2 + sex","Phi(~year2 * sex)p(~time + sex)f(~year2 * season2 + sex)",67,17763.9177437462,324.215005089198,0,852.97336
"385","~sex","~season2","~year2 + season2","Phi(~sex)p(~season2)f(~year2 + season2)",16,17764.9574124362,325.254673779182,0,958.62919
"636","~year2 + season2","~year2 * season2","~year2","Phi(~year2 + season2)p(~year2 * season2)f(~year2)",45,17765.4305454545,325.72780679756,0,900.01124
"599","~year2 + season2","~time","~year2","Phi(~year2 + season2)p(~time)f(~year2)",45,17765.4345454545,325.731806797561,0,900.01522
"398","~sex","~season2 + sex","~year2 + season2","Phi(~sex)p(~season2 + sex)f(~year2 + season2)",17,17765.4618942308,325.759155573782,0,957.11267
"1058","~year2 * sex","~time + sex","~year2 + season2","Phi(~year2 * sex)p(~time + sex)f(~year2 + season2)",57,17765.6099489051,325.907210248122,0,875.43373
"605","~year2 + season2","~time","~year2 * sex","Phi(~year2 + season2)p(~time)f(~year2 * sex)",56,17766.3940155062,326.691276849248,0,878.28787
"643","~year2 + season2","~year2 * season2","~year2 * sex","Phi(~year2 + season2)p(~year2 * season2)f(~year2 * sex)",56,17766.3940155062,326.691276849248,0,878.28787
"615","~year2 + season2","~time + sex","~year2 * sex","Phi(~year2 + season2)p(~time + sex)f(~year2 * sex)",57,17767.0139489051,327.311210248125,0,876.83839
"655","~year2 + season2","~year2 * season2 + sex","~year2 * sex","Phi(~year2 + season2)p(~year2 * season2 + sex)f(~year2 * sex)",57,17767.0139489051,327.311210248125,0,876.83808
"964","~year2 + sex","~year2 * season2","~season2","Phi(~year2 + sex)p(~year2 * season2)f(~season2)",36,17770.0370770626,330.33433840557,0,923.06689
"34","~1","~season2 + sex","~year2 + season2 + sex","Phi(~1)p(~season2 + sex)f(~year2 + season2 + sex)",17,17770.1388942308,330.436155573785,0,961.78962
"21","~1","~season2","~year2 + season2 + sex","Phi(~1)p(~season2)f(~year2 + season2 + sex)",16,17770.2724124362,330.56967377918,0,963.94366
"1051","~year2 * sex","~time","~year2 * season2 + sex","Phi(~year2 * sex)p(~time)f(~year2 * season2 + sex)",66,17775.7241637694,336.021425112453,0,866.86223
"20","~1","~season2","~year2 + season2","Phi(~1)p(~season2)f(~year2 + season2)",15,17776.5281441441,336.825405487158,0,972.21938
"1042","~year2 * sex","~time","~season2","Phi(~year2 * sex)p(~time)f(~season2)",46,17776.5457002122,336.842961555201,0,909.07012
"33","~1","~season2 + sex","~year2 + season2","Phi(~1)p(~season2 + sex)f(~year2 + season2)",16,17777.0034124362,337.30067377918,0,970.67474
"1080","~year2 * sex","~year2 * season2","~season2","Phi(~year2 * sex)p(~year2 * season2)f(~season2)",46,17778.9257002122,339.222961555202,0,911.44975
"416","~sex","~sex","~year2 * season2 + sex","Phi(~sex)p(~sex)f(~year2 * season2 + sex)",26,17788.9710189816,349.268280324635,0,962.38327
"415","~sex","~sex","~year2 * season2","Phi(~sex)p(~sex)f(~year2 * season2)",25,17795.3925662651,355.689827608076,0,970.83598
"377","~sex","~1","~year2 * season2 + sex","Phi(~sex)p(~1)f(~year2 * season2 + sex)",25,17796.3085662651,356.605827608077,0,971.75221
"51","~1","~sex","~year2 * season2 + sex","Phi(~1)p(~sex)f(~year2 * season2 + sex)",25,17799.1765662651,359.473827608075,0,974.62042
"50","~1","~sex","~year2 * season2","Phi(~1)p(~sex)f(~year2 * season2)",24,17806.3133369467,366.610598289717,0,983.78648
"339","~season2 * sex","~time + sex","~year2 + sex","Phi(~season2 * sex)p(~time + sex)f(~year2 + sex)",39,17807.241738657,367.539000000001,0,954.13337
"376","~sex","~1","~year2 * season2","Phi(~sex)p(~1)f(~year2 * season2)",24,17808.1193369467,368.416598289718,0,985.59273
"358","~season2 * sex","~year2 * season2","~year2 * sex","Phi(~season2 * sex)p(~year2 * season2)f(~year2 * sex)",48,17809.1747515924,369.47201293537,0,937.58252
"333","~season2 * sex","~time","~year2 + sex","Phi(~season2 * sex)p(~time)f(~year2 + sex)",38,17809.2352806169,369.532541959888,0,958.17358
"1101","~year2 * sex","~year2 * season2 + sex","~year2 * season2","Phi(~year2 * sex)p(~year2 * season2 + sex)f(~year2 * season2)",66,17809.5481637694,369.845425112453,0,900.68621
"365","~season2 * sex","~year2 * season2 + sex","~year2 * sex","Phi(~season2 * sex)p(~year2 * season2 + sex)f(~year2 * sex)",49,17810.3416504854,370.63891182845,0,936.68958
"12","~1","~1","~year2 * season2 + sex","Phi(~1)p(~1)f(~year2 * season2 + sex)",24,17812.9203369467,373.217598289717,0,990.39389
"234","~season2 + sex","~time","~year2 + sex","Phi(~season2 + sex)p(~time)f(~year2 + sex)",37,17813.9020604595,374.199321802505,0,964.88652
"267","~season2 + sex","~year2 * season2","~year2 + sex","Phi(~season2 + sex)p(~year2 * season2)f(~year2 + sex)",37,17813.9020604595,374.199321802505,0,964.88653
"242","~season2 + sex","~time + sex","~year2 + sex","Phi(~season2 + sex)p(~time + sex)f(~year2 + sex)",38,17814.7202806169,375.017541959889,0,963.65902
"275","~season2 + sex","~year2 * season2 + sex","~year2 + sex","Phi(~season2 + sex)p(~year2 * season2 + sex)f(~year2 + sex)",38,17814.7202806169,375.017541959889,0,963.65905
"277","~season2 + sex","~year2 * season2 + sex","~year2 * sex","Phi(~season2 + sex)p(~year2 * season2 + sex)f(~year2 * sex)",48,17815.2897515924,375.587012935372,0,943.69816
"11","~1","~1","~year2 * season2","Phi(~1)p(~1)f(~year2 * season2)",23,17819.4793299217,379.776591264748,0,998.98243
"269","~season2 + sex","~year2 * season2","~year2 * sex","Phi(~season2 + sex)p(~year2 * season2)f(~year2 * sex)",47,17819.5801018799,379.877363222942,0,950.0474
"334","~season2 * sex","~time","~year2 * sex","Phi(~season2 * sex)p(~time)f(~year2 * sex)",48,17821.6067515924,381.904012935371,0,950.01518
"362","~season2 * sex","~year2 * season2 + sex","~year2","Phi(~season2 * sex)p(~year2 * season2 + sex)f(~year2)",38,17821.9022806169,382.19954195989,0,970.84048
"340","~season2 * sex","~time + sex","~year2 * sex","Phi(~season2 * sex)p(~time + sex)f(~year2 * sex)",49,17823.0056504854,383.30291182845,0,949.35363
"860","~year2 + season2 * sex","~year2 * season2","~sex","Phi(~year2 + season2 * sex)p(~year2 * season2)f(~sex)",38,17824.5792806169,384.876541959889,0,973.51773
"355","~season2 * sex","~year2 * season2","~year2","Phi(~season2 * sex)p(~year2 * season2)f(~year2)",37,17824.7300604595,385.027321802507,0,975.71454
"871","~year2 + season2 * sex","~year2 * season2 + sex","~sex","Phi(~year2 + season2 * sex)p(~year2 * season2 + sex)f(~sex)",39,17825.417738657,385.715,0,972.30869
"825","~year2 + season2 * sex","~time","~sex","Phi(~year2 + season2 * sex)p(~time)f(~sex)",38,17826.1342806169,386.43154195989,0,975.07305
"833","~year2 + season2 * sex","~time + sex","~sex","Phi(~year2 + season2 * sex)p(~time + sex)f(~sex)",39,17827.218738657,387.516000000003,0,974.10994
"709","~year2 + season2 + sex","~time","~sex","Phi(~year2 + season2 + sex)p(~time)f(~sex)",37,17828.1970604595,388.494321802507,0,979.18171
"752","~year2 + season2 + sex","~year2 * season2","~sex","Phi(~year2 + season2 + sex)p(~year2 * season2)f(~sex)",37,17828.1970604595,388.494321802507,0,979.18171
"975","~year2 + sex","~year2 * season2","~year2 * sex","Phi(~year2 + sex)p(~year2 * season2)f(~year2 * sex)",56,17829.6830155062,389.980276849245,0,941.57659
"719","~year2 + season2 + sex","~time + sex","~sex","Phi(~year2 + season2 + sex)p(~time + sex)f(~sex)",38,17830.2282806169,390.525541959887,0,979.16734
"763","~year2 + season2 + sex","~year2 * season2 + sex","~sex","Phi(~year2 + season2 + sex)p(~year2 * season2 + sex)f(~sex)",38,17830.2282806169,390.525541959887,0,979.16734
"942","~year2 + sex","~time","~year2 * sex","Phi(~year2 + sex)p(~time)f(~year2 * sex)",56,17830.2610155062,390.558276849246,0,942.15492
"232","~season2 + sex","~time","~year2","Phi(~season2 + sex)p(~time)f(~year2)",36,17830.4660770626,390.76333840557,0,983.496
"263","~season2 + sex","~year2 * season2","~year2","Phi(~season2 + sex)p(~year2 * season2)f(~year2)",36,17830.5660770626,390.863338405568,0,983.59619
"239","~season2 + sex","~time + sex","~year2","Phi(~season2 + sex)p(~time + sex)f(~year2)",37,17830.7410604595,391.038321802505,0,981.72595
"271","~season2 + sex","~year2 * season2 + sex","~year2","Phi(~season2 + sex)p(~year2 * season2 + sex)f(~year2)",37,17830.7410604595,391.038321802505,0,981.72602
"939","~year2 + sex","~time","~year2 + sex","Phi(~year2 + sex)p(~time)f(~year2 + sex)",46,17831.2027002122,391.499961555201,0,963.72722
"950","~year2 + sex","~time + sex","~year2 + sex","Phi(~year2 + sex)p(~time + sex)f(~year2 + sex)",47,17831.3581018799,391.655363222944,0,961.82511
"985","~year2 + sex","~year2 * season2 + sex","~year2 + sex","Phi(~year2 + sex)p(~year2 * season2 + sex)f(~year2 + sex)",47,17831.3581018799,391.655363222944,0,961.82512
"988","~year2 + sex","~year2 * season2 + sex","~year2 * sex","Phi(~year2 + sex)p(~year2 * season2 + sex)f(~year2 * sex)",57,17831.6209489051,391.918210248125,0,941.44514
"972","~year2 + sex","~year2 * season2","~year2 + sex","Phi(~year2 + sex)p(~year2 * season2)f(~year2 + sex)",46,17831.6777002122,391.974961555199,0,964.20175
"953","~year2 + sex","~time + sex","~year2 * sex","Phi(~year2 + sex)p(~time + sex)f(~year2 * sex)",57,17832.1339489051,392.431210248124,0,941.95767
"374","~sex","~1","~year2 + season2 * sex","Phi(~sex)p(~1)f(~year2 + season2 * sex)",17,17834.2598942308,394.557155573784,0,1025.911
"413","~sex","~sex","~year2 + season2 * sex","Phi(~sex)p(~sex)f(~year2 + season2 * sex)",18,17835.5245906222,395.821851965196,0,1025.1539
"134","~season2","~time","~year2 + sex","Phi(~season2)p(~time)f(~year2 + sex)",36,17836.1840770626,396.481338405571,0,989.21416
"164","~season2","~year2 * season2","~year2 + sex","Phi(~season2)p(~year2 * season2)f(~year2 + sex)",36,17836.1840770626,396.481338405571,0,989.21422
"141","~season2","~time + sex","~year2 + sex","Phi(~season2)p(~time + sex)f(~year2 + sex)",37,17836.1940604595,396.491321802507,0,987.17915
"175","~season2","~year2 * season2 + sex","~year2 + sex","Phi(~season2)p(~year2 * season2 + sex)f(~year2 + sex)",37,17836.1940604595,396.491321802507,0,987.17921
"1052","~year2 * sex","~time","~year2 * sex","Phi(~year2 * sex)p(~time)f(~year2 * sex)",66,17836.2791637694,396.576425112453,0,927.41741
"1091","~year2 * sex","~year2 * season2","~year2 * sex","Phi(~year2 * sex)p(~year2 * season2)f(~year2 * sex)",66,17836.2791637694,396.576425112453,0,927.41741
"1064","~year2 * sex","~time + sex","~year2 * sex","Phi(~year2 * sex)p(~time + sex)f(~year2 * sex)",67,17838.3607437462,398.658005089197,0,927.41575
"1103","~year2 * sex","~year2 * season2 + sex","~year2 * sex","Phi(~year2 * sex)p(~year2 * season2 + sex)f(~year2 * sex)",67,17838.3607437462,398.658005089197,0,927.41578
"869","~year2 + season2 * sex","~year2 * season2 + sex","~1","Phi(~year2 + season2 * sex)p(~year2 * season2 + sex)f(~1)",38,17839.2182806169,399.515541959889,0,988.15727
"1077","~year2 * sex","~year2 + sex","~year2 * season2 + sex","Phi(~year2 * sex)p(~year2 + sex)f(~year2 * season2 + sex)",56,17841.1540155062,401.451276849246,0,953.04757
"1049","~year2 * sex","~time","~year2 + sex","Phi(~year2 * sex)p(~time)f(~year2 + sex)",56,17841.2970155062,401.594276849246,0,953.19094
"1088","~year2 * sex","~year2 * season2","~year2 + sex","Phi(~year2 * sex)p(~year2 * season2)f(~year2 + sex)",56,17841.2970155062,401.594276849246,0,953.19113
"832","~year2 + season2 * sex","~time + sex","~1","Phi(~year2 + season2 * sex)p(~time + sex)f(~1)",38,17841.4062806169,401.703541959887,0,990.34469
"139","~season2","~time + sex","~year2","Phi(~season2)p(~time + sex)f(~year2)",36,17841.5580770626,401.85533840557,0,994.5884
"172","~season2","~year2 * season2 + sex","~year2","Phi(~season2)p(~year2 * season2 + sex)f(~year2)",36,17841.5580770626,401.85533840557,0,994.58841
"132","~season2","~time","~year2","Phi(~season2)p(~time)f(~year2)",35,17842.1363293051,402.43359064815,0,997.21037
"161","~season2","~year2 * season2","~year2","Phi(~season2)p(~year2 * season2)f(~year2)",35,17842.1363293051,402.43359064815,0,997.21041
"1061","~year2 * sex","~time + sex","~year2 + sex","Phi(~year2 * sex)p(~time + sex)f(~year2 + sex)",57,17842.6659489051,402.963210248123,0,952.48946
"136","~season2","~time","~year2 * sex","Phi(~season2)p(~time)f(~year2 * sex)",46,17842.8717002122,403.168961555202,0,975.39575
"166","~season2","~year2 * season2","~year2 * sex","Phi(~season2)p(~year2 * season2)f(~year2 * sex)",46,17842.8717002122,403.168961555202,0,975.39578
"859","~year2 + season2 * sex","~year2 * season2","~1","Phi(~year2 + season2 * sex)p(~year2 * season2)f(~1)",37,17842.9830604595,403.280321802507,0,993.9679
"142","~season2","~time + sex","~year2 * sex","Phi(~season2)p(~time + sex)f(~year2 * sex)",47,17843.8001018799,404.097363222943,0,974.26741
"178","~season2","~year2 * season2 + sex","~year2 * sex","Phi(~season2)p(~year2 * season2 + sex)f(~year2 * sex)",47,17843.8011018799,404.098363222944,0,974.26746
"947","~year2 + sex","~time + sex","~year2","Phi(~year2 + sex)p(~time + sex)f(~year2)",46,17844.5027002122,404.7999615552,0,977.02667
"981","~year2 + sex","~year2 * season2 + sex","~year2","Phi(~year2 + sex)p(~year2 * season2 + sex)f(~year2)",46,17844.5027002122,404.7999615552,0,977.02669
"824","~year2 + season2 * sex","~time","~1","Phi(~year2 + season2 * sex)p(~time)f(~1)",37,17844.5730604595,404.870321802508,0,995.55788
"935","~year2 + sex","~time","~year2","Phi(~year2 + sex)p(~time)f(~year2)",45,17844.7365454545,405.033806797561,0,979.31673
"968","~year2 + sex","~year2 * season2","~year2","Phi(~year2 + sex)p(~year2 * season2)f(~year2)",45,17844.7365454545,405.033806797561,0,979.31675
"412","~sex","~sex","~year2 + season2 + sex","Phi(~sex)p(~sex)f(~year2 + season2 + sex)",17,17846.0038942308,406.301155573783,0,1037.655
"795","~year2 + season2 * sex","~season2","~year2 * season2","Phi(~year2 + season2 * sex)p(~season2)f(~year2 * season2)",37,17846.1980604595,406.495321802508,0,997.18262
"794","~year2 + season2 * sex","~season2","~year2 + sex","Phi(~year2 + season2 * sex)p(~season2)f(~year2 + sex)",28,17847.1885990353,407.485860378289,0,1016.534
"959","~year2 + sex","~year2","~year2 * season2 + sex","Phi(~year2 + sex)p(~year2)f(~year2 * season2 + sex)",45,17847.7055454545,408.002806797562,0,982.28602
"708","~year2 + season2 + sex","~time","~1","Phi(~year2 + season2 + sex)p(~time)f(~1)",36,17848.7140770626,409.011338405569,0,1001.744
"749","~year2 + season2 + sex","~year2 * season2","~1","Phi(~year2 + season2 + sex)p(~year2 * season2)f(~1)",36,17848.7140770626,409.011338405569,0,1001.744
"760","~year2 + season2 + sex","~year2 * season2 + sex","~1","Phi(~year2 + season2 + sex)p(~year2 * season2 + sex)f(~1)",37,17848.9010604595,409.198321802505,0,999.88621
"515","~year2","~time + sex","~year2 + sex","Phi(~year2)p(~time + sex)f(~year2 + sex)",46,17849.7567002122,410.053961555201,0,982.28069
"542","~year2","~year2 * season2 + sex","~year2 + sex","Phi(~year2)p(~year2 * season2 + sex)f(~year2 + sex)",46,17849.7617002122,410.058961555202,0,982.28557
"716","~year2 + season2 + sex","~time","~year2 * sex","Phi(~year2 + season2 + sex)p(~time)f(~year2 * sex)",57,17850.0519489051,410.349210248125,0,959.87639
"759","~year2 + season2 + sex","~year2 * season2","~year2 * sex","Phi(~year2 + season2 + sex)p(~year2 * season2)f(~year2 * sex)",57,17850.0519489051,410.349210248125,0,959.87568
"505","~year2","~time","~year2 + sex","Phi(~year2)p(~time)f(~year2 + sex)",45,17850.1815454545,410.478806797561,0,984.76193
"717","~year2 + season2 + sex","~time + sex","~1","Phi(~year2 + season2 + sex)p(~time + sex)f(~1)",37,17850.2780604595,410.575321802506,0,1001.2631
"411","~sex","~sex","~year2 + season2","Phi(~sex)p(~sex)f(~year2 + season2)",16,17851.4594124362,411.756673779179,0,1045.1307
"771","~year2 + season2 + sex","~year2 * season2 + sex","~year2 * sex","Phi(~year2 + season2 + sex)p(~year2 * season2 + sex)f(~year2 * sex)",58,17851.6381417706,411.935403113624,0,959.39068
"607","~year2 + season2","~time + sex","~sex","Phi(~year2 + season2)p(~time + sex)f(~sex)",37,17854.6910604595,414.988321802506,0,1005.6763
"48","~1","~sex","~year2 + season2 * sex","Phi(~1)p(~sex)f(~year2 + season2 * sex)",17,17854.8078942308,415.105155573783,0,1046.4588
"598","~year2 + season2","~time","~sex","Phi(~year2 + season2)p(~time)f(~sex)",36,17854.8920770626,415.189338405569,0,1007.9217
"635","~year2 + season2","~year2 * season2","~sex","Phi(~year2 + season2)p(~year2 * season2)f(~sex)",36,17854.8940770626,415.19133840557,0,1007.9237
"47","~1","~sex","~year2 + season2 + sex","Phi(~1)p(~sex)f(~year2 + season2 + sex)",16,17855.0114124362,415.308673779182,0,1048.6828
"373","~sex","~1","~year2 + season2 + sex","Phi(~sex)p(~1)f(~year2 + season2 + sex)",16,17855.3304124362,415.627673779181,0,1049.002
"512","~year2","~time + sex","~year2","Phi(~year2)p(~time + sex)f(~year2)",45,17855.5415454545,415.838806797561,0,990.12241
"539","~year2","~year2 * season2 + sex","~year2","Phi(~year2)p(~year2 * season2 + sex)f(~year2)",45,17855.5415454545,415.838806797561,0,990.12241
"502","~year2","~time","~year2","Phi(~year2)p(~time)f(~year2)",44,17856.5466364738,416.843897816812,0,993.18184
