"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"1044","~year2 * sex","~time","~season2 * sex","Phi(~year2 * sex)p(~time)f(~season2 * sex)",48,17617.9357515924,178.233012935369,0,746.34399
"1013","~year2 * sex","~season2","~year2 * season2 + sex","Phi(~year2 * sex)p(~season2)f(~year2 * season2 + sex)",46,17618.6687002122,178.965961555201,0,751.19325
"1026","~year2 * sex","~season2 + sex","~year2 * season2 + sex","Phi(~year2 * sex)p(~season2 + sex)f(~year2 * season2 + sex)",47,17619.8481018799,180.145363222942,0,750.31518
"1055","~year2 * sex","~time + sex","~season2 * sex","Phi(~year2 * sex)p(~time + sex)f(~season2 * sex)",49,17620.0616504854,180.358911828451,0,746.40983
"1095","~year2 * sex","~year2 * season2 + sex","~season2 * sex","Phi(~year2 * sex)p(~year2 * season2 + sex)f(~season2 * sex)",49,17620.0616504854,180.358911828451,0,746.40982
"916","~year2 + sex","~season2 + sex","~year2 * season2 + sex","Phi(~year2 + sex)p(~season2 + sex)f(~year2 * season2 + sex)",37,17620.1560604595,180.453321802506,0,771.14097
"187","~season2 + sex","~1","~year2 + season2 * sex","Phi(~season2 + sex)p(~1)f(~year2 + season2 * sex)",18,17620.4135906222,180.710851965196,0,810.04322
"937","~year2 + sex","~time","~year2 + season2 + sex","Phi(~year2 + sex)p(~time)f(~year2 + season2 + sex)",47,17620.6051018799,180.902363222944,0,751.07175
"67","~1","~time + sex","~year2 * season2","Phi(~1)p(~time + sex)f(~year2 * season2)",45,17620.8635454545,181.160806797561,0,755.44357
"100","~season2","~season2","~year2 * season2","Phi(~season2)p(~season2)f(~year2 * season2)",25,17621.6305662651,181.927827608077,0,797.07368
"189","~season2 + sex","~1","~year2 * season2","Phi(~season2 + sex)p(~1)f(~year2 * season2)",25,17621.9555662651,182.252827608074,0,797.39883
"948","~year2 + sex","~time + sex","~year2 + season2 + sex","Phi(~year2 + sex)p(~time + sex)f(~year2 + season2 + sex)",48,17622.5217515924,182.819012935372,0,750.92974
"978","~year2 + sex","~year2 * season2 + sex","~season2 + sex","Phi(~year2 + sex)p(~year2 * season2 + sex)f(~season2 + sex)",38,17623.6252806169,183.922541959888,0,772.56392
"288","~season2 * sex","~1","~year2 * season2","Phi(~season2 * sex)p(~1)f(~year2 * season2)",26,17624.0030189816,184.300280324638,0,797.41532
"973","~year2 + sex","~year2 * season2","~year2 * season2","Phi(~year2 + sex)p(~year2 * season2)f(~year2 * season2)",55,17624.2573404255,184.554601768545,0,738.22027
"88","~season2","~1","~year2 * season2 + sex","Phi(~season2)p(~1)f(~year2 * season2 + sex)",25,17625.5885662651,185.885827608075,0,801.03236
"213","~season2 + sex","~season2 + sex","~year2 + season2 * sex","Phi(~season2 + sex)p(~season2 + sex)f(~year2 + season2 * sex)",20,17625.7616315789,186.058892921959,0,811.344
"642","~year2 + season2","~year2 * season2","~year2 * season2 + sex","Phi(~year2 + season2)p(~year2 * season2)f(~year2 * season2 + sex)",56,17627.5380155062,187.835276849248,0,739.43235
"912","~year2 + sex","~season2 + sex","~year2 + season2 + sex","Phi(~year2 + sex)p(~season2 + sex)f(~year2 + season2 + sex)",28,17627.8155990353,188.112860378289,0,797.16111
"124","~season2","~sex","~year2 + season2 * sex","Phi(~season2)p(~sex)f(~year2 + season2 * sex)",18,17629.5325906222,189.829851965198,0,819.1622
"915","~year2 + sex","~season2 + sex","~year2 * season2","Phi(~year2 + sex)p(~season2 + sex)f(~year2 * season2)",36,17630.3020770626,190.599338405569,0,783.33229
